snake 5
cobra 5
bat 5
spider 5
spinner_spider 5
giant_spider 3
skeleton 5
scorpion 5
shopkeeper 2
hired_help 7
caveman 5
tiki_man 4
blue_frog 5
orange_frog 6
big_frog 4
maneater 4
pihran 8
old_bitey 10
bee 8
queen_bee 6
snail 5
jiang_shi 5
knight 6
black_knight 7
vampire 7
ghost 10
bacterium 5
worm_egg 5
worm_baby 5
yeti 4
king_yeti 4
mammoth 4
alien 3
ufo 3
alien_tank 4
alien_lord 9
alien_queen 9
bird_man 4
croc_man 4
magma_man 6
scorpion_fly 5
mummy 6
anubis_1 7
anubis_2 7
olmec 7
vlad 7
imp 7
devil 7
succubus 7
horsehead 7
oxface 7
yama 40
spike 4
arrow_trap 3
powder_box 6
boulder 6
tiki_trap 4
acid 4
worm_block 6
mine 7
loose_platform 8
turret 7
force_field 8
crush_trap 7
ceiling_trap 7
spike_ball 7
lava 7
fall_damage 2
pushable_block 10
item_contact 12
self_sacrifice 50
bomb 4
teleporter 9
abyss 6
plasma_cannon 5
moving_platform 8
sceptre 10
1 2
2 2
3 2
4 2
5 2
6 2
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 1
18 1
19 1
20 1
